id,orig_id,region,site,site_note,note,in_analysis
M0621,NA,SE,Lakšárska Nová Ves-kravíny JRD,NA,NA,TRUE
M0622,NA,BA,Lamač-Jamy 2,NA,NA,TRUE
M0623,FT476,ZN,Lančov-Za kapličkou,Bachstelzenfeld,NA,TRUE
M0624,710,MI,Lanzendorf-Sandgrube,NA,NA,TRUE
M0625,34-23-20/3,BV,Lanžhot-Podsedky,NA,RMM a AÚ,TRUE
M0626,24-22-16/8,PV,Laškov - Na příčkách,NA,NA,TRUE
M0627,24-22-16/6,PV,Laškov-Na kuse,Na kuse I.,i LgK Iia,TRUE
M0628,33-22-02/3,TR,Láz u Nových Syrovic-U nového rybníka,NA,NA,TRUE
M0629,14-44-12/3,OC,Lazce u Troubelic-U staré matky,Pod Vystříbrem; I k.ú. Medlov,NA,TRUE
M0630,14-44-12/4,OC,Lazce u Troubelic–Vystříbro,i k.ú. Medlov a Troubelice,NA,TRUE
M0631,24-21-01/3,SY,Lázy-říšská dálnice,RAB,NA,TRUE
M0632,34-23-07/9,BV,Lednice na Moravě-Nejdecké roviny,"Hoselochy, Zelinářský hon",NA,TRUE
M0633,34-23-08/2,BV,Lednice na Moravě-Podholmy,Bohnhalmaecker,"sbírky RMM, A/M 1032",TRUE
M0634,NA,KM,Lechotice-Podlesí,NA,NA,TRUE
M0635,NA,ZN,Lechovice-parcela 424/21,NA,NA,TRUE
M0636,24-32-14/2,BO,Lelekovice-hrad,NA,NA,TRUE
M0637,24-32-14/3,BO,Lelekovice-intravilán,NA,NA,TRUE
M0638,A36,HL,Leodagger-Lange Vierteln,NA,NA,TRUE
M0639,NA,ZN,Lesná u Znojma-Horní prátna,NA,NA,TRUE
M0640,NA,ZN,Lesná u Znojma-U lihovaru,NA,NA,TRUE
M0641,34-11-05/5,ZN,Lesonice u Moravského Krumlova-Močidla,Klínky,Moravský Krumlov,TRUE
M0642,23-44-13/8,TR,Lesůňky-cihlena,"Hloušek, Lesůňky VII (Kovárník), Lesůňky III (Vokáč)",NA,TRUE
M0643,FT489,TR,Lesůňky-Loch,"Záhumenice, za drůbežárnou",NA,TRUE
M0644,23-44-13/4,TR,Lesůňky-nad soutokem,"Lesůňky IV, resp. Lesůňky XI, i k.ú. Milatice",NA,TRUE
M0645,23-44-13/22,TR,Lesůňky-Tvrz,Lesůňky VI,NA,TRUE
M0646,23-44-13/1,TR,Lesůňky-U boroví,Lesůňky II,NA,TRUE
M0647,23-44-13/2,TR,Lesůňky-U dubu,Lesůňky VIII,NA,TRUE
M0648,23-44-13/7,TR,Lesůňky-U tvrze,Lesůňky V,NA,TRUE
M0649,24-24-06/43,PV,Lešany u Prostějova-Na dluhošticích,NA,NA,TRUE
M0650,24-24-06/26,PV,Lešany u Prostějova-U doubku,švestkový sad,NA,TRUE
M0651,24-24-01/1,PV,Lešany u Prostějova-V Syrovátkách,Na syrovátkách,NA,TRUE
M0652,24-24-06/35,PV,Lešany u Prostějova-Za Hemerkovým,"Za Hemerským, Nad hájem, Vinohrádky",NA,TRUE
M0653,24-34-11/12,BO,Letkovice-intravilán,NA,Ivančice,TRUE
M0654,FT122,BO,Letkovice-Pod kolibkami,NA,NA,TRUE
M0655,24-43-05/2,VY,Letonice-Mezi hájky,Bandekybl,"MZM, viděl",TRUE
M0656,24-44-07/7,VY,Letošov-cihlelna,NA,NA,TRUE
M0657,FT172,VY,Letošov-Půllány,Půllány od Nevojic,NA,TRUE
M0658,FT310,TR,Lhánice-Černice,Díly,"Materiál v NM, lokalita = Lhánice-při cestě do Senorad",TRUE
M0659,FT206,TR,Lhánice-Kolonie,"Hříbek, Hřezek",NA,TRUE
M0660,FT42,TR,Lhánice-Kopanina,"Kopaniny, Na peklích",NA,TRUE
M0661,24-33-14/4,TR,Lhánice-Na hrádku,Na peklích,NA,TRUE
M0662,24-33-14/8,TR,Lhánice-Vodavek,Záhumenice,NA,TRUE
M0663,24-33-14/7,TR,Lhánice-zemědělské družstvo,NA,NA,TRUE
M0664,25-13-10/7,PR,Lhota u Lipníka nad Bečvou-Dlouhé hony,"u ZD, pravý břeh Šišemky",NA,TRUE
M0665,NA,PR,Lhota u Lipníka nad Bečvou-Dlouhé hony,Lhota II.,NA,TRUE
M0666,FT27,TR,Lhotice u Jemnice-Široké,NA,NA,TRUE
M0667,25-31-21/4,KM,Lhotka u Kroměříže-Padělky od Zelinky,NA,NA,TRUE
M0668,14-43-14/1,SU,Líbivá-u nadjezdu nad dráhou,NA,NA,TRUE
M0669,NA,HO,Lipov-Padělky,NA,NA,TRUE
M0670,24-32-04/6,BK,Lipůvka-Klíny,NA,NA,TRUE
M0671,24-32-04/7,BK,Lipůvka-Nad cihelnou,NA,NA,TRUE
M0672,24-32-04/8,BK,Lipůvka-Pod habřím,NA,NA,TRUE
M0673,24-32-09/7,BK,Lipůvka-Pod Maňůvkou u Trojice,NA,NA,TRUE
M0674,NA,KM,Lísky-Za Hrubou loukou,NA,NA,TRUE
M0675,FT135,BM,Líšeň-Breitcetlova,Breitcetlova ul.,NA,TRUE
M0676,24-41-21/5,BM,Líšeň-Čihadlo,Staré zámky,MZM Pa 112-114/88,TRUE
M0677,NA,BM,Líšeň-Dlouhý kus,NA,NA,TRUE
M0678,24-41-21/9,BM,Líšeň-Klicperova ul.,NA,NA,TRUE
