id,site,accuracy,surface,altitude,X,Y
B0491,Starý Kolín-u hřbitova,2,NA,200,-681903,-1060478
B0492,Stěžery-,1,FALSE,261,-647001,-1041327
B0493,Stěžery-U cihelny,2,TRUE,264,-647014,-1040397
B0494,Stěžery-U hřbitova,2,NA,270,-647387,-1040651
B0495,Stíčany-Za sady,2,TRUE,243,-639490,-1069205
B0496,Straky-severní okraj obce,1,FALSE,194,-702260,-1031811
B0497,Stránka u Brandýsa nad Labem-,1,FALSE,220,-723254,-1037391
B0498,Strašnice-pískovny pod Bohdalcem,2,NA,230,-738448,-1046231
B0499,Střevač-U Jordánu,2,TRUE,284,-677477,-1016533
B0501,Svatý Mikuláš-U studánky,2,FALSE,210,-678630,-1064317
B0502,Svinišťany-intravilán,2,TRUE,288,-627703,-1023569
B0503,Svinišťany-Muka,2,TRUE,285,-628310,-1023609
B0504,Svojšice u Kouřimi-u cukrovaru,3,NA,248,-699860,-1057306
B0506,Šeberov-Na proutcích,2,FALSE,290,-737748,-1051888
B0507,Škvorec-ul. Za Zahradami,1,FALSE,213,-721673,-1050393
B0508,Škvorec-,2,TRUE,306,-720841,-1050205
B0509,Štítary u Kolína-V šornici,1,FALSE,230,-690410,-1057194
B0510,Štítary u Kolína-Za Dvorem,2,FALSE,240,-690406,-1057539
B0511,Štítary u Kolína-Na stráni,3,FALSE,240,-690428,-1057960
B0512,Štolmíř-,3,TRUE,226,-712085,-1045896
B0513,Štolmíř-kravín,2,FALSE,230,-713333,-1047497
B0514,Tatce-V dolních čtverých,2,FALSE,212,-703178,-1048742
B0515,Tismice-západní hranice katastru,2,FALSE,284,-716209,-1050037
B0516,Tismice-Za školou,3,NA,260,-714231,-1050263
B0517,Tisová u Vysokého Mýta-nad osadou Bžundov,3,TRUE,286,-618367,-1073582
B0518,Topol-Na hradě,1,FALSE,286,-644087,-1069242
B0519,Topol-Na skále,2,TRUE,284,-643862,-1069476
B0520,Trnová-,2,NA,217,-649411,-1058701
B0521,Třebestovice-Na struhách,2,FALSE,198,-705021,-1044738
B0522,Třebestovice- U bažantnic,2,NA,190,-703210,-1043869
